session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
60e46121275e76eb0e331160,60e3978188c53ea545935d55,APPROVED,2021-07-06 13:56:54.884000,2021-07-06 14:19:52.592000,1377.708,20,54,1,100,2021-07-06 14:50:03.537000,NOCODE,Malaysia,United States,Part-Time,Chinese,"Chinese, English, Mandarin, Malay",Malaysia,Male,Yes
60e461231d835ad494d5c736,60e178ba4dfe4e433c4df059,APPROVED,2021-07-06 13:56:54.897000,2021-07-06 14:12:12.708000,917.811,27,38,0,100,2021-07-06 14:50:04.503000,1A79B39E,Turkey,Germany,Part-Time,Turkish,"Turkish, English",Turkey,Female,Yes
60e4613dff4fe7cf4d7e0ec0,60e371e5baa9c842e57d9a1c,RETURNED,2021-07-06 13:57:21.584000,,11337031.570701,41,34,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60e461493abc17fbefa911e1,609c224036e0a5daae4cd20a,RETURNED,2021-07-06 13:58:05.050000,,11336988.140948,22,33,1,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60e4614e453098dfae8a8f6c,60e37bba755a467a8eabb56b,APPROVED,2021-07-06 13:58:02.871000,2021-07-06 14:16:35.216000,1112.345,18,26,0,100,2021-07-06 14:50:05.666000,1A79B39E,South Africa,South Africa,Other,DATA EXPIRED,English,South Africa,Male,Yes
60e4618e8dd780c49fda8519,60e44b31cbd9cf9968b19054,RETURNED,2021-07-06 14:08:38.901000,,11336354.332498,22,20,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60e461965cf4fb0af98eb187,60e4232f878861717ad8fadb,APPROVED,2021-07-06 13:58:51.886000,2021-07-06 14:28:13.975000,1762.089,21,15,1,99,2021-07-06 14:50:06.581000,1A79B39E,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"Portuguese, English",Portugal,Female,Yes
60e461b43cfa2120521b41c5,60c640858425aac9570af7cf,APPROVED,2021-07-06 13:59:20.398000,2021-07-06 14:53:08.972000,3228.574,20,21,0,100,2021-07-06 14:55:17.470000,NOCODE,South Africa,South Africa,Other,DATA EXPIRED,English,South Africa,Female,Yes
60e461c2ae8e5f1619cb94d0,5e67d9ed33e6a60542f4dfd7,APPROVED,2021-07-06 13:59:34.663000,2021-07-06 14:17:53.006000,1098.343,32,122,1,100,2021-07-06 14:50:07.517000,NOCODE,Estonia,Estonia,Other,Estonian,"English, Estonian, German",Estonia,Female,Yes
60e461ccb93c78669bb4ebe9,5eb32d8f960a4f10eef4c618,APPROVED,2021-07-06 13:59:44.102000,2021-07-06 14:24:50.703000,1506.601,24,27,0,100,2021-07-06 14:50:08.881000,1A79B39E,Italy,Italy,Part-Time,Italian,"English, Italian",Italy,Male,Yes
60e462229a124b81320d5996,60e38f5aeb686bdb0bed1077,APPROVED,2021-07-06 14:02:19.411000,2021-07-06 14:41:20.024000,2340.613,20,34,0,100,2021-07-06 14:50:09.822000,NOCODE,South Africa,South Africa,DATA EXPIRED,DATA EXPIRED,English,South Africa,Female,Yes
60e4623295b894c47addefe6,60e162a90615435203cf153a,APPROVED,2021-07-06 14:01:43.244000,2021-07-06 14:38:13.931000,2190.687,33,56,0,100,2021-07-06 14:50:10.931000,1A79B39E,South Africa,South Africa,Full-Time,DATA EXPIRED,"English, Afrikaans",South Africa,Male,No
60e462c5c52734087a878349,60e1cdf138bd02c34a2adbdd,APPROVED,2021-07-06 14:05:08.400000,2021-07-06 14:54:20.367000,2951.967,28,8,2,90,2021-07-06 14:55:11.758000,1A79B39E,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,English,South Africa,Male,Yes
60e462f85a7d5ca32e33de78,60d2044fc689bab31a36754a,APPROVED,2021-07-06 14:04:58.133000,2021-07-06 14:51:37.693000,2799.56,26,8,0,100,2021-07-06 14:55:13.675000,NOCODE,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,"Afrikaans, English",South Africa,Female,Yes
60e463bea9c5039fc3bd7743,60e42918295fa7e2370827a4,APPROVED,2021-07-06 14:08:00.880000,2021-07-06 14:42:02.478000,2041.598,20,23,0,100,2021-07-06 14:50:11.929000,NOCODE,Spain,Spain,Unemployed (and job seeking),Spanish,"Catalan, English, Spanish",Spain,Female,Yes
60e46496a34594832756666b,60ddca8ed1356eafabd45fd3,APPROVED,2021-07-06 14:12:00.324000,2021-07-06 14:26:40.089000,879.765,30,30,0,100,2021-07-06 14:50:12.851000,1A79B39E,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese, Spanish",Portugal,Male,No
60e464e3eec14d83fa3821a8,60e1cecfdd761c292b7377fb,APPROVED,2021-07-06 14:13:00.198000,2021-07-06 14:39:24.754000,1584.556,24,26,1,100,2021-07-06 14:50:14.006000,1A79B39E,Estonia,Estonia,Other,Estonian,"Estonian, English",Estonia,Female,Yes
60e466dbf970cddf57ef5b3a,60e343a81a1fccbf93aa26e7,APPROVED,2021-07-06 14:21:20.358000,2021-07-06 15:54:04.095000,5563.737,19,31,0,100,2021-07-06 15:54:06.795000,Manual Completion,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,"Afrikaans, English",South Africa,Female,Yes
60e475f8ad2be6f24003acbc,60dc9f57188686372d7890c7,APPROVED,2021-07-06 15:25:46.496000,2021-07-06 15:43:48.769000,1082.273,20,40,0,100,2021-07-06 15:43:50.752000,Manual Completion,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"Portuguese, English",Portugal,Male,Yes
